52,Le Blosne,Rennes,True
55,Bato Fou,Saint-Pierre de la Réunion,False
71,Aire Libre ,Saint-Jacques-de-la-Lande,True
71,Nouvel Atrium,Saint-Avertin,True
82,L'Omnibus,Saint-Malo,True
116,Le Fuzz'Yon,La Roche-sur-Yon,False
119,Village,Rennes,True
129,FNAC,Rennes,False
138,Le Pub Gallery,Rennes,True
142,Ecole intercomunale de musique du pays de la Roche-aux-fées,Janzé,False
145,Le Normandy,Saint-Lô,False
145,Parc des Expositions - Hall 8,Bruz,True
150,Coatélan,Morlaix,False
162,Liberté Haut,Rennes,True
165,Espace Bel-Air,Saint-Aubin-du-Cormier ,True
171,Arena 09,Moscou,True
181,Parc des Expositions - L'Atelier,Bruz,False
189,Parc des Expositions - Green Room,Bruz,True
203,Aire Libre,Saint-Jacques-de-la-Lande,True
220,La Route du Rhum,Nantes,True
250,Kinap - Red Hall,Samara,True
256,La Cité,Rennes,False
273,Le Runs Ar Puns,Chateaulin,False
280,Espace Bel-Air,Saint-Aubin-Du-Cormier,True
285,La Bellangerais,Rennes,True
294,Grand Huit,Rennes,True
315,Le Pôle Sud,Chartres-de-Bretagne,True
325,Eglise du Vieux St-Etienne,Rennes,False
327,La Péniche,Rennes,True
337,Le Cotton,Rennes,False
337,Le Thy'roir,Ploërmel ,True
367,Salle du CLOUS,Brest,False
379,Salle municipale,Louvigné-du-Désert,True
383,Le Tambour,Rennes,False
399,La Citrouille,Saint-Brieuc,True
425,Le Triangle,Rennes,False
428,Chaoyang Park,Pékin,True
433,Ferme de la Harpe,Rennes,False
473,Le Cargö,Caen,True
477,Parc des Expositions - Hall 4,Bruz,True
511,Salle municipale,Bazouges-la-Pérouse,True
528,Maison du Champs de Mars,Rennes,True
538,Liberté,Rennes,False
571,Centre Culturel Jovence,Louvigné-du-Désert,False
581,Big Band Café,Hérouville Saint-Clair,False
590,Place de la Mairie,Rennes,True
605,Maison de Quartier Villejean,Rennes,False
609,Parc des Expositions - Hall 5,Bruz,False
619,Salle Omnisports,Rennes,True
633,Parc des Expositions - L'Usine,Bruz,True
654,Opéra,Rennes,False
664,La Carène,Brest,True
690,Hall du Tango,Pékin,False
701,L'Inconnu,Rennes,True
703,Le Chabada,Angers,True
712,Le VIP,Saint-Nazaire,True
715,La Trinquette,Rennes,True
735,Théâtre de Poche,Hédé,True
746,Villejean,Rennes,True
750,L'Excelsior,Allonnes,True
757,Le Scopitone,Rennes,False
762,La Nouvelle Vague,Saint-Malo,False
767,Amphigouri,Angers,True
774,Centre Culturel de l'Ecusson,Josselin,False
779,Le Thy'roir,Ploërmel,False
797,Lounge du Tango,Pékin,True
802,L'Echonova,Saint-Avé,False
817,La Citrouille,Saint Brieuc,False
836,Maison d'arrêt des Hommes,Rennes,True
836,Salle Municipale,Louvigné-du-Désert,True
862,Esperanza,Angers,True
881,Le Coatelan,Morlaix ,False
883,Ubu,Rennes,False
884,Le Liberté,Rennes,True
890,Arena 09 - Miller Advanced Music Room,Moscou,True
897,Espace Bel Air,Saint-Aubin-du-Cormier,True
905,Parc des Expositions - La Forêt,Bruz,True
914,Run Ar Puns,Chateaulin,True
915,Théâtre Max Jacob,Quimper,False
923,Le Piccadilly,Rennes,True
925,Maison de la Culture,Rennes,True
933,Le Synthi,Rennes,True
951,Le Fuzz'Yon,La Roche-Sur-Yon,False
958,Centre Culturel Le Triangle,Rennes,False
987,Maison de Quartier Le Blosne,Rennes,False
992,Orange Bleue,Brest,False
1013,Salle des Fêtes,La Bosse-de-Bretagne,False
1020,Salle de l'Amicale Laïque,Janzé,True
1032,Centre Pénitentiaire des Hommes,Vezin-Le-Coquet,False
1036,L'Etage,Rennes,True
1039,Run Ar Puns,Châteaulin,False
1042,Les Champs Libres,Rennes,True
1044,L'Espace,Bruz,True
1045,Lenexpo,Saint-Pétersbourg,True
1046,Parc des Expositions - House Hall,Bruz,True
1049,Le 6 Par 4,Laval,True
1051,Café des Beaux-Arts,Rennes,False
1058,MJC Cleunay,Rennes,True
1063,Maison d'Arrêt des Hommes,Rennes,True
1076,Le Batofar,Paris,True
1082,Le Fuzz'Yon,La Roche sur Yon,False
1087,L'Echonova,Vannes,True
1091,Com's,Rennes,True
1092,Centre Pénitentiaire des Femmes,Rennes,True
1093,Le 6 par 4,Entrammes,True
1096,L'Espace,Rennes,False
1105,Théâtre de Cornouailles,Quimper,True
1124,La Passerelle,Saint-Brieuc,True
1132,Le Pub Satori,Rennes,False
1147,Le Coatelan,Morlaix,False
1169,Le Vauban,Brest,False
1180,Les Temps Modernes,Rennes,False
1181,Le Satori,Rennes,True
1207,Parc des Expositions - Hall 9,Bruz,True
1245,Parc des Expositions - Hall 4,Rennes,True
1251,Le Vip,Saint-Nazaire,True
1257,La Luciole,Alençon,True
1262,Place du Colombier,Rennes,True
1272,Le Scooter,Rennes,False
1286,Maison de Quartier Maurepas,Rennes,True
1288,César,Brest,True
1288,Le Grand Logis,Bruz,True
1295,Triangle,Rennes,True
1300,Le Manège,Lorient,True
1301,Fleda,Brno,True
1304,Stereolux,Nantes,True
1310,L'Aventure,Rennes,True
1313,MPT Penhars,Quimper ,True
1318,Liberté Bas,Rennes,True
1323,Le Pôle Sud,Chartres de Bretagne,False
1324,Le Cactus,Rennes,False
1326,Parc des Expositions - Hall 3,Bruz,False
1331,Le Coatélan,Morlaix,True
1340,Triptyque,Paris,True
1344,Amphi Chateaubriand,Rennes,True
1346,Le Chatham,Rennes,True
